BEVOEGD GEZAG NUMMER;GROEPERING;BEVOEGD GEZAG NAAM;JAAR;LIQUIDITEIT (CURRENT RATIO);RENTABILITEIT;SOLVABILITEIT 1;SOLVABILITEIT 2;ALGEMENE RESERVE / TOTALE BATEN;BELEGGINGEN (T.O.V. EV);CONTRACTACTIVITEITEN / RIJKSBIJDRAGE;CONTRACTACTIVITEITEN / TOTALE BATEN;EIGEN VERMOGEN / TOTALE BATEN;INVESTERING HUISVESTING / TOTALE BATEN;INVESTERINGEN (INVENT.+APP.) / TOTALE BATEN;KAPITALISATIEFACTOR;LIQUIDITEIT (QUICK RATIO);OV. OVERHEIDSBIJDRAGEN / TOT. BATEN;PERSONEEL / RIJKSBIJDRAGEN;PERSONELE LASTEN / TOTALE LASTEN;RIJKSBIJDRAGEN / TOTALE BATEN;VOORZIENINGEN /TOTALE BATEN;WEERSTANDSVERMOGEN (-/- MVA);WEERSTANDSVERMOGEN VO TOTALE BN.;WERKKAPITAAL / TOTALE BATEN;HUISVESTINGSLASTEN / TOTALE LASTEN;WERKKAPITAAL;(KORTL. SCHULDEN / TOTALE BATEN) * 365;(VORDERINGEN / TOTALE BATEN) * 365
10028;SSG1;Gemeente Ameland;2009;3,61;12,6;0,65;0,79;21,5;0;0;0;22,3;0,6;0;33,69;3,61;0,2;80,8;81,9;88,6;4,8;16,2;22,30;19,2;2,9;327.448,00;27;1
10028;SSG1;Gemeente Ameland;2010;5,05;9,6;0,73;0,84;33,4;0;0;0;34,3;1,8;0;46,5;5,05;0,1;78,1;84,9;98,2;5,2;26,5;34,30;31,3;3,1;481.939,00;28;2
10028;SSG1;Gemeente Ameland;2011;5,31;6,6;0,78;0,83;37,3;0;0;0;38,1;0,3;0;48,25;5,31;0,1;83,4;86;96,2;2,7;33,4;38,10;34,8;3;585.452,00;29;9
10028;SSG1;Gemeente Ameland;2012;5,54;8,5;0,81;0,85;43,7;0;0;0;44,5;5,2;0;54,54;5,54;0,1;78,7;85,3;99,1;2,3;35,3;44,50;37,3;2,6;664.447,00;30;2
10028;SSG1;Gemeente Ameland;2013;4,02;6,9;0,82;0,86;48,8;0;0;0;49,6;18,5;0;60,1;4,02;0,1;81,6;80,8;92,3;2,3;25,5;49,60;25,9;3,6;480.182,00;31;1
10053;SSG1;Gemeente Assen;2009;1,99;7,2;0,58;0,64;52,3;0;0;0;52,3;20,4;0;90,79;1,99;0,2;71,8;73,8;95,4;5,7;28;52,30;32,5;7,6;844.622,00;120;49
10053;SSG1;Gemeente Assen;2010;2,41;3;0,62;0,7;55,2;0;0;0;55,2;3,4;0;89,01;2,41;3,3;73,6;73;96,2;6,7;32,7;55,20;38,1;7,8;1.028.466,00;99;46
10053;SSG1;Gemeente Assen;2011;2,99;2,3;0,63;0,74;56,3;0;0;0;56,3;0,6;0;88,82;2,99;3,3;81,1;73,9;89,1;9,4;41,1;56,30;46;6,9;1.267.162,00;85;45
10053;SSG1;Gemeente Assen;2012;4,52;14,1;0,72;0,82;61,4;0;0;0;63;2;0,8;86,24;4,52;5,3;76;74;83,6;8,3;56;63,00;55,1;4,7;1.746.366,00;57;44
10053;SSG1;Gemeente Assen;2013;4,89;10,8;0,75;0,84;69,4;0;0;0;78,2;2;8,6;94,75;4,89;3;70,7;73,9;93,2;9,2;58,6;78,20;63,8;4,8;1.885.539,00;60;46
10869;SSG4;Gemeente Texel;2009;3,53;4,1;0,69;0,78;37,5;0;0;0;37,5;1,8;0;54,54;3,53;0,8;84,9;85,8;96,9;5,1;32;37,50;30,1;6,7;2.139.050,00;43;18
10869;SSG4;Gemeente Texel;2010;1,78;-1,7;0,73;0,78;26,6;0;0;0;36,3;21,3;0;49,45;1,78;0,8;86,9;82,9;97;2,4;12,4;36,30;8,4;6,8;625.760,00;39;6
10869;SSG4;Gemeente Texel;2011;1,65;-4,6;0,72;0,77;23,3;0;0;0;32,1;1,1;0;44,28;1,65;1,2;89,5;82,3;96,1;2;11,1;32,10;6,6;5,8;489.557,00;37;5
10869;SSG4;Gemeente Texel;2012;1,43;-5,1;0,69;0,73;23,5;0;0;0;28;0,9;0;40,68;1,43;0,7;91;83,5;96,3;1,7;9,3;28,00;4,7;5,3;335.998,00;40;7
10869;SSG4;Gemeente Texel;2013;2,26;0,2;0,69;0,74;18,6;0;0;0;26,1;1,1;0;37,66;2,26;0,9;84,1;81,9;97,1;1,7;11,1;26,10;12,5;7,3;971.857,00;36;6
10907;SSG3;Gemeente Veenendaal;2009;2,24;-2,4;0,63;0,76;9,9;0;0;0;39,5;3,4;10,1;50,01;2,24;0,5;79,2;75,3;97,4;8,8;15,9;39,50;18,4;5,9;1.286.811,00;54;121
10907;SSG3;Gemeente Veenendaal;2010;1,98;-4,9;0,66;0,78;10,7;0;0;0;37,1;2,8;1,4;41,78;1,98;1,1;84,9;78,8;97,4;6,6;11,6;37,10;11,9;5,3;814.568,00;44;74
10907;SSG3;Gemeente Veenendaal;2011;1,78;-2,5;0,65;0,78;12,3;0;0;0;35,1;3,4;0,5;40,61;1,78;1;83,2;79,4;97,8;7,2;8,5;35,10;9,5;5,8;641.336,00;44;78
10907;SSG3;Gemeente Veenendaal;2012;2,08;2,7;0,62;0,77;6,1;0;0;0;30,1;3,7;0,7;35,99;2,08;0,8;80,2;81;98,2;7,7;4,3;30,10;11,9;5,4;856.264,00;40;73
10907;SSG3;Gemeente Veenendaal;2013;1,49;-3,3;0,57;0,77;10,1;0;0;0;25,1;7,5;0,6;31,95;1,49;1,5;83,4;78,8;97,6;8,5;-3,6;25,10;5;5,9;382.845,00;37;50
10928;SSG1;Gemeente Vlieland;2009;2,52;-1,6;0,54;0,69;12,2;0;0;0;12,6;1,1;0;21,93;2,52;4,9;82,7;75,9;93,2;3,4;8;12,60;10,9;7,7;154.932,00;26;7
10928;SSG1;Gemeente Vlieland;2010;1,47;-5,8;0,46;0,53;7,3;0;0;0;7,3;0,9;0;14,68;1,47;1,4;89;78,6;93,4;0,9;2,7;7,30;3,5;7,7;50.021,00;27;7
10928;SSG1;Gemeente Vlieland;2011;1,21;-3;0,33;0,41;4,5;0;0;0;4,5;0,4;0;12,92;1,21;1,6;87;80,7;95,6;1,1;0,6;4,50;1,7;7,4;23.000,00;29;8
10928;SSG1;Gemeente Vlieland;2012;1,44;2,1;0,41;0,49;6,3;0;0;0;6,3;1,4;0;14,74;1,44;1,1;81,9;80,4;96,1;1,2;2,4;6,30;3,5;7,4;51.751,00;29;8
10928;SSG1;Gemeente Vlieland;2013;1,26;-0,9;0,32;0,36;5,7;0;0;0;5,7;0,5;0;17,47;1,26;1,1;83,3;79;95,8;0,8;2,2;5,70;3;8,1;41.866,00;42;7
11107;SSG1;Gemeente Lelystad M Z;2009;2,06;1,8;0,49;0,57;10,1;0;0;0;29,5;1,2;0;60,37;2,06;6,4;92,4;84,1;89,4;4,7;25,9;29,50;27,8;4,8;8.323.261,00;96;77
11107;SSG1;Gemeente Lelystad M Z;2010;6,96;1,5;0,78;0,87;28,3;0;0;0;58,3;1,7;0;74,94;6,96;0;84,4;80,4;93,8;6,7;55,5;58,30;58,8;4;1.834.189,00;36;196
11107;SSG1;Gemeente Lelystad M Z;2011;5,08;-7,3;0,71;0,82;49;0;0;0;51,9;1,3;0;72,83;5,08;11,5;101;80,7;85,7;7,8;53,3;51,90;53,5;8,6;1.644.117,00;48;217
11107;SSG1;Gemeente Lelystad M Z;2012;1,41;-14,3;0,25;0,31;40,1;0;0;0;42,2;0,1;0;168,6;1,41;8,1;106;84;90,6;10,6;40,4;42,20;47,2;5,2;1.330.716,00;422;28
11107;SSG1;Gemeente Lelystad M Z;2013;4,22;-18,8;0,36;0,78;20,5;0;0;0;21,2;0;0;59,16;4,22;5,2;116,6;86,9;88,6;25,2;18;21,20;41,1;4,7;1.224.904,00;47;39
12975;SSG4;Almere College, CvB;2009;1,41;2,5;0,54;0,67;26,5;0;0;0;26,5;5,2;0,3;38,22;1,41;1,1;80,6;80,6;97,5;6,5;5,5;26,50;6,1;6,1;986.316,00;54;4
12975;SSG4;Almere College, CvB;2010;1,36;-0,4;0,53;0,64;25,6;0;0;0;25,6;2,1;0,6;37,91;1,36;0,9;83,1;81;97,9;5,8;6;25,60;5,9;5,9;987.188,00;60;9
12975;SSG4;Almere College, CvB;2011;1,44;-0,5;0,53;0,64;25,5;0;0;0;25,5;1,7;0;38,12;1,44;1,1;83,2;80,6;97,3;5,6;7,6;25,50;7,4;5,8;1.228.743,00;61;12
12975;SSG4;Almere College, CvB;2012;1,46;-2,9;0,47;0,59;23,7;0;0;0;23,7;1,7;0,3;39,51;1,46;0,8;85,4;81,5;98,2;6;6,1;23,70;9,1;5,8;1.446.117,00;73;25
12975;SSG4;Almere College, CvB;2013;2,23;3,8;0,61;0,76;27;0;0;0;27;2,9;0,7;34,02;2,23;1,3;79,6;80,7;97,6;6,8;9,2;27,00;12,8;5,8;2.086.508,00;38;17
13273;SSG4;Stg. Opb. VO N- en M-Drenthe;2009;1,76;-1,1;0,32;0,64;3;0;0;0;16,3;3,1;0,5;38,01;1,76;0;85,5;81,1;95,9;16,1;-8,3;16,30;11,5;6;2.563.532,00;55;6
13273;SSG4;Stg. Opb. VO N- en M-Drenthe;2010;1,61;-2,3;0,33;0,6;4,7;0;0;0;15;1,3;0,1;35,03;1,6;1,9;84,1;78,2;95,1;12,5;-4,9;15,00;9,9;5,8;2.390.825,00;59;4
13273;SSG4;Stg. Opb. VO N- en M-Drenthe;2011;1,61;-0,7;0,32;0,61;5;0;0;0;14,7;1,2;0;36,59;1,6;0,3;84,2;81,5;97,4;13,7;-4,3;14,70;10,5;5,5;2.482.380,00;63;9
13273;SSG4;Stg. Opb. VO N- en M-Drenthe;2012;1,7;-0,9;0,31;0,59;8,3;0;0;0;13;2,2;0;38,47;1,69;0;82,7;79,7;97,3;12,1;-0,2;13,00;11,9;4,2;2.998.321,00;62;9
13273;SSG4;Stg. Opb. VO N- en M-Drenthe;2013;1,94;-1;0,62;0,65;22,5;0;0;0;22,5;3,4;0,2;35,58;1,94;0;85,6;81,8;96,5;1,3;10,9;22,50;11,9;5,1;2.992.536,00;46;6
13278;SSG3;Stg. Regionale SGM Enkhuizen;2009;3,15;3,2;0,62;0,77;28,5;0;0;0;30,8;4,6;0,1;48,28;3,14;0;87,3;81,1;89,9;7,4;19,4;30,80;24,9;4,7;2.434.200,00;42;11
13278;SSG3;Stg. Regionale SGM Enkhuizen;2010;2,44;-0,1;0,64;0,73;29,1;0;0;0;31,6;3,7;5,8;42,82;2,43;0;87,1;80,5;92,4;4,8;15,2;31,60;18,9;4,7;1.935.810,00;48;12
13278;SSG3;Stg. Regionale SGM Enkhuizen;2011;2,55;1,5;0,64;0,73;30,2;0;0;0;31,8;3;0,3;43,59;2,55;0;86,3;80,8;92,1;4,4;18;31,80;21;4,6;2.240.709,00;49;13
13278;SSG3;Stg. Regionale SGM Enkhuizen;2012;2,68;2,1;0,63;0,73;31,3;0;0;0;32,7;2,4;0,9;46,08;2,68;0;86,3;81;91,8;5,1;20,7;32,70;24,1;4,9;2.676.027,00;52;12
13278;SSG3;Stg. Regionale SGM Enkhuizen;2013;2,62;1,9;0,63;0,73;31,7;0;0;0;32,9;3,4;3,1;44,93;2,62;0;88;82,4;91,9;5;19,6;32,90;23;4,7;2.689.303,00;52;14
13360;SSG4;Stg. Minkema College opb. VO;2009;1,51;1,3;0,38;0,53;0;0;0;0;21,6;2,8;0;51,51;1,51;0;81,8;77,3;93,3;8,5;-1,7;21,60;9,6;8,3;1.681.830,00;68;11
13360;SSG4;Stg. Minkema College opb. VO;2010;1,39;-1,9;0,35;0,47;1,3;0;0;0;20,5;2,6;0;54,16;1,39;0;85,2;78,6;93,9;7,4;-0,3;20,50;9,2;7;1.636.393,00;86;11
13360;SSG4;Stg. Minkema College opb. VO;2011;1,29;-1,1;0,35;0,46;0,4;0;0;0;19;3,8;0;49,29;1,28;0;86,9;80;93,1;5,9;-1,5;19,00;6,3;6,2;1.140.264,00;80;7
13360;SSG4;Stg. Minkema College opb. VO;2012;1,31;0,9;0,34;0,44;1,2;0;0;0;20,1;2,1;0;53,9;1,3;0;84,8;80,3;93,9;6;0,9;20,10;7,9;6,7;1.428.253,00;95;10
13360;SSG4;Stg. Minkema College opb. VO;2013;1,35;1,8;0,44;0,56;8,7;0;0;0;20,8;11,1;0;43,42;1,34;0;80,1;77,2;94,5;6;-2;20,80;5,2;9,7;978.221,00;54;8
13365;SSG4;Stg. Openb. VO de Waerdenborch;2009;2,08;2;0,44;0,64;0;0;0,5;0,4;16,2;3,1;1,2;34,9;2,08;0;76,2;73,5;94,5;7,7;7;16,20;14,3;7;2.500.847,00;48;22
13365;SSG4;Stg. Openb. VO de Waerdenborch;2010;1,78;2,1;0,44;0,59;0;0;0,4;0,4;16;1;0;34,15;1,78;0;83,2;82,4;96,9;5,2;6,7;16,00;11,8;6,6;1.988.294,00;55;1
13365;SSG4;Stg. Openb. VO de Waerdenborch;2011;1,65;-0,5;0,46;0,57;11,8;0;0;0;14,8;3;0;31,15;1,65;0;84,2;80,3;95,9;3,5;5,6;14,80;8,9;8;1.562.463,00;50;2
13365;SSG4;Stg. Openb. VO de Waerdenborch;2012;1,71;1,1;0,49;0,6;13;0;0;0;15,5;1,9;0;31,06;1,71;0;82,1;80,3;96,7;3,4;5,8;15,50;9,1;8,3;1.636.010,00;47;2
13365;SSG4;Stg. Openb. VO de Waerdenborch;2013;2,08;2,8;0,55;0,66;16,4;0;0;0;17,9;1,9;0;31,94;2,08;0;80,8;80,5;96,9;3,6;8,5;17,90;11,9;7,7;2.205.844,00;40;3
13554;SSG5;Stichting Quadraam;2009;1,52;1,5;0,45;0,64;20,9;0;0;0;24,3;3,3;0,2;40,63;1,52;0,8;86,1;79,4;92;10,4;-6,2;24,30;8,4;5,3;8.546.802,00;59;38
13554;SSG5;Stichting Quadraam;2010;0,73;-0,8;0,42;0,53;15,3;0;0;0;21,9;4,6;1;37,52;0,73;0,9;86,8;78,8;92,2;5,7;-15,9;21,90;-5,6;5,2;-5.802.518,00;75;13
13554;SSG5;Stichting Quadraam;2011;0,63;-3,3;0,41;0,51;12,6;0;0;0;18,3;2,8;5,6;25,87;0,63;0,7;88,6;78,5;91,7;4,7;-16,3;18,30;-6,8;5;-7.125.217,00;66;10
13554;SSG5;Stichting Quadraam;2012;0,67;0,6;0,43;0,51;13,5;0;0;0;18,6;1,6;2,5;22,72;0,67;0,6;83,9;78,1;92,8;3,4;-13,6;18,60;-5,9;4,8;-6.295.443,00;64;10
13554;SSG5;Stichting Quadraam;2013;0,91;4,3;0,51;0,58;15,2;0;0;0;22,1;1,8;0,9;23,56;0,91;1,7;80,2;78,1;93,4;3;-7,8;22,10;-1,4;4,7;-1.512.343,00;55;15
13555;SSG4;Stg. Openbaar VO Walcheren;2009;1,77;0,5;0,32;0,58;16,7;0;0;0;18,7;1,8;0,4;55,28;1,65;0,8;80,9;75,5;92,8;15,5;3,5;18,70;18,7;6,7;4.110.376,00;88;30
13555;SSG4;Stg. Openbaar VO Walcheren;2010;0,95;-0,2;0,45;0,57;17;0;0;0;21,7;6,2;6,6;33,61;0,82;1;79,6;74,5;93,8;5,9;-4,8;21,70;-0,9;5,3;-189.579,00;64;9
13555;SSG4;Stg. Openbaar VO Walcheren;2011;0,91;0,4;0,45;0,57;17,9;0;0;0;21,4;1,8;1,5;32,48;0,78;0,8;77,4;73,5;94,5;5,7;-5,1;21,40;-1,5;5,5;-342.950,00;63;13
13555;SSG4;Stg. Openbaar VO Walcheren;2012;0,68;0,8;0,44;0,55;18,4;0;0;0;21,6;2,9;1;34;0,68;0,8;77,5;74,3;95;5,6;-7,3;21,60;-7;5,5;-1.628.917,00;80;9
13555;SSG4;Stg. Openbaar VO Walcheren;2013;0,91;5,4;0,53;0,63;19,1;0;0;0;25,1;2,7;0,4;33,97;0,91;0,7;74;74,3;95;5;-1,2;25,10;-1,5;6,2;-393.023,00;64;19
13556;SSG2;OSZG;2009;1,39;2,8;0,64;0,68;23,2;0;0;0;35,9;1,8;3;37,15;1,39;0,7;87,3;75,2;83,8;2,4;8,7;35,90;7;4,5;2.332.432,00;65;58
13556;SSG2;OSZG;2010;0,88;-1,5;0,6;0,62;22,7;0;0,1;0,1;36,2;2,9;4;39,09;0,88;0,8;86,2;76,3;89,8;1,7;4,3;36,20;-2,7;4,9;-890.032,00;83;15
13556;SSG2;OSZG;2011;0,81;-3,5;0,53;0,56;19,2;0;0,1;0,1;33;1,6;1,3;41,07;0,81;0,6;90;77,8;89,5;1,7;1,5;33,00;-5,3;4,5;-1.703.476,00;101;7
13556;SSG2;OSZG;2012;0,88;-1;0,58;0,62;19,1;0;0,1;0,1;31,3;1,3;1,9;35,65;0,88;0,7;88,2;78,2;89,6;2,1;4;31,30;-2,5;4,4;-835.449,00;76;14
13556;SSG2;OSZG;2013;1,24;5,3;0,65;0,68;24,4;0;0,1;0,1;34,6;1,3;0,6;36,94;1,24;1;83;77,9;88,9;1,8;11,3;34,60;4,1;5;1.454.152,00;62;10
13563;SSG4;BC Winkler Prins;2009;1,06;-2,6;0,45;0,52;18,8;0;0;0;23,8;2,4;1,6;39,51;1,06;1,1;86,3;79,5;94,5;3,8;-2,3;23,80;1,6;5,8;294.415,00;94;2
13563;SSG4;BC Winkler Prins;2010;0,94;-1;0,43;0,45;23,3;0;0;0;25,7;1,7;2,5;44,55;0,94;1,4;86,2;81,3;95,3;1,2;-6,7;25,70;-1,9;5,6;-332.538,00;107;3
13563;SSG4;BC Winkler Prins;2011;0,91;0,2;0,46;0,48;24,3;0;0;0;26,4;5;5,7;38,49;0,91;0,2;84,2;79,9;94,7;1,2;-7,1;26,40;-2,3;5,6;-400.639,00;97;13
13563;SSG4;BC Winkler Prins;2012;1,08;2,1;0,49;0,51;26,7;0;0;0;28,5;1,2;1,1;39,57;1,08;0,2;83,6;80,7;94,5;1,1;-2,4;28,50;1,9;5,4;332.332,00;92;3
13563;SSG4;BC Winkler Prins;2013;1,22;2,4;0,5;0,52;28,5;0;0;0;29,8;1,8;1,2;42,07;1,22;0,2;82,1;79,4;94,4;1,2;1,8;29,80;5,6;5,5;1.033.651,00;93;4
13586;SSG4;Stg. v. Opb. VO Gem. S T & A;2009;1,07;0,9;0,38;0,66;8,6;7;0;0;13,1;4,1;0,9;31,69;0,89;1,4;82,7;80,1;95,9;9,5;-8,1;13,10;0,9;7,1;212.878,00;43;16
13586;SSG4;Stg. v. Opb. VO Gem. S T & A;2010;1,31;2,5;0,49;0,69;11,3;5;0;0;18,3;2;2;34,11;1,07;1;83,9;82,5;95,7;7,4;-3;18,30;3,6;5;961.500,00;43;10
13586;SSG4;Stg. v. Opb. VO Gem. S T & A;2011;1,28;0,1;0,49;0,68;11,3;4,1;0;0;18;3,1;0,3;33,6;1,04;1,5;87;81,8;93,8;7;-3,2;18,00;3,2;5,1;879.861,00;43;17
13586;SSG4;Stg. v. Opb. VO Gem. S T & A;2012;1,34;1;0,45;0,65;12,9;4,7;0;0;18,2;3,2;0,1;37,41;1,15;0,9;85,3;80,7;93,9;7,8;-2,3;18,20;4,8;6;1.354.872,00;52;23
13586;SSG4;Stg. v. Opb. VO Gem. S T & A;2013;1,55;1,5;0,46;0,67;14,4;5,8;0;0;19,1;2,7;0;39,19;1,35;0,2;82,7;79,1;94,5;8,9;-0,3;19,10;7,5;6,6;2.205.312,00;50;20
13603;SSG4;Stichting OSG Piter Jelles;2009;0,08;-0,3;0,29;0,44;9;0;0;0;9,4;2,2;1,5;23,23;0,07;0,2;85,3;81,3;95,6;4,8;-16,8;9,40;-16,6;6,2;-6.308.119,00;66;4
13603;SSG4;Stichting OSG Piter Jelles;2010;0,14;-2,4;0,29;0,41;8,9;0;0;0;9,3;0,9;0;23,37;0,14;0,2;86;80,7;96,1;4;-16,5;9,30;-16,2;6,3;-5.660.368,00;69;9
13603;SSG4;Stichting OSG Piter Jelles;2011;0,19;-0,4;0,33;0,48;8,7;0;0;0;9,5;0,3;0;20,28;0,19;0,2;85,9;81,8;95,7;4,3;-14,9;9,50;-12,3;6;-3.995.875,00;55;10
13603;SSG4;Stichting OSG Piter Jelles;2012;0,78;4,6;0,43;0,55;11,4;0;0;0;13,9;0,9;0,1;24,68;0,78;0,2;80,8;80,5;95;4,1;-7,7;13,90;-3,2;7,3;-1.081.461,00;53;16
13603;SSG4;Stichting OSG Piter Jelles;2013;1,12;4,3;0,51;0,62;11,6;0;0;0;18,1;0,9;0,3;27,86;1,12;0,2;80,3;80,2;95,6;4;-2,4;18,10;1,7;7,1;577.409,00;50;11
13652;SSG5;Stg. Opb. VO N-Holland-Noord;2009;0,97;0,1;0,46;0,5;13,4;0;0,1;0,1;19,4;2,6;0,2;36,04;0,93;1;81,2;75,6;93,1;1,8;-2,7;19,40;-0,6;5,7;-311.615,00;77;22
13652;SSG5;Stg. Opb. VO N-Holland-Noord;2010;0,66;-3;0,44;0,48;10,7;0;0,1;0,1;16,6;1,8;0,4;31,39;0,61;0,9;81,5;74,5;94,1;1,5;-8,7;16,6;-6,6;6,3;-3.427.798,00;72;19
13652;SSG5;Stg. Opb. VO N-Holland-Noord;2011;0,75;0,8;0,49;0,54;11,4;0;0,1;0,1;17,2;1,7;0,3;26,2;0,68;0,4;78,3;74;93,8;1,5;-5,8;17,2;-4;5,6;-2.098.940,00;59;23
13652;SSG5;Stg. Opb. VO N-Holland-Noord;2012;0,85;1,4;0,5;0,54;13;0;0,1;0,1;18,4;1,1;0,2;28,13;0,79;0,1;77,1;74,2;94,9;1,7;-4,2;18,4;-2,5;5,4;-1.303.757,00;62;13
13652;SSG5;Stg. Opb. VO N-Holland-Noord;2013;0,98;3,4;0,57;0,63;15,6;0;0,1;0,1;20,7;1,6;0;26,66;0,9;0,3;75;74;95,3;2;-2,2;20,7;-0,3;6,4;-149.924,00;49;14
13678;SSG4;Stg. Openbaar VO NW-Friesland;2009;2,35;2,8;0,44;0,64;13;0;0;0;14,3;1,7;0;32,82;2,35;0;86,8;80,5;90,1;6,6;10,4;14,3;16;6,7;1.793.710,00;43;5
13678;SSG4;Stg. Openbaar VO NW-Friesland;2010;1,81;-0,1;0,4;0,52;12,1;0;0;0;15,8;1,4;0;38,92;1,81;0;88,6;80,3;90,7;4,5;11,8;15,8;15,2;6,2;1.768.538,00;68;5
13678;SSG4;Stg. Openbaar VO NW-Friesland;2011;2,5;2,4;0,52;0,67;13,4;0;0;0;18,1;2,6;0;34,85;2,5;0;82,2;80,5;95,6;5,3;12,4;18,1;17,1;7,5;1.990.612,00;42;6
13678;SSG4;Stg. Openbaar VO NW-Friesland;2012;2,42;0,4;0,53;0,66;13,4;0;0;0;18,7;1,7;0;35,66;2,42;0;85,3;81,7;95,4;5;12,7;18,7;17,1;5,6;1.958.835,00;44;7
13678;SSG4;Stg. Openbaar VO NW-Friesland;2013;2,85;0,9;0,53;0,72;13,9;0;0;0;18,9;2,7;0;35,97;2,84;0;82,3;78,9;95,1;7;12,1;18,9;18,5;8,1;2.201.573,00;37;7
13693;SSG4;Stg. v. Openb. VO Wageningen;2009;1,32;-1,3;0,39;0,55;10,5;0;0;0;17,8;1,9;0,8;35,1;1,31;2,2;83,6;79,1;95,8;7,1;-9,3;17,8;4,3;7,2;769.986,00;49;33
13693;SSG4;Stg. v. Openb. VO Wageningen;2010;1,21;-0,2;0,42;0,56;9,7;0;0;0;17,8;1,6;3,2;29,58;1,2;2,6;84,5;80,6;95,6;6;-9;17,8;2,6;6,5;493.588,00;46;32
13693;SSG4;Stg. v. Openb. VO Wageningen;2011;1,75;-0,5;0,43;0,55;8,2;0;0;0;17,1;2,3;11,3;35,74;1,75;2,4;84,7;81,2;96,3;5,1;-0,1;17,1;9,7;6,1;1.882.225,00;47;45
13693;SSG4;Stg. v. Openb. VO Wageningen;2012;1,28;-0,4;0,44;0,58;7,4;0;0;0;16,2;5,1;3,4;29,17;1,28;1,3;83,9;81;97;5;-6;16,2;3,2;6,7;640.958,00;41;28
13693;SSG4;Stg. v. Openb. VO Wageningen;2013;1,07;2,6;0,54;0,6;11,3;0;0;0;18,3;2,4;0,3;24,57;1,06;0,8;80,2;80,5;97,7;1,9;-4,7;18,3;0,7;6,2;141.263,00;37;7
13709;SSG4;Stg. Culemborg Openbaar VO;2009;2,06;2,1;0,39;0,5;13,6;3,7;0;0;20,3;2,3;6,6;45,66;2,06;0,6;85,3;79,7;91,6;5,7;-2;20,3;14,1;5,7;3.247.011,00;49;22
13709;SSG4;Stg. Culemborg Openbaar VO;2010;1,95;2,3;0,42;0,49;14,6;3,4;0;0;21,1;2,3;26,2;41,93;1,95;0,7;84,1;79,4;92,2;3,6;-1,4;21,1;13,1;5,9;3.245.109,00;51;11
13709;SSG4;Stg. Culemborg Openbaar VO;2011;1,93;0,6;0,45;0,53;14,5;3;0;0;21,9;2,9;2,5;38,23;1,93;0,4;85,2;79,3;92,5;3,7;-2,7;21,9;11,3;5,3;2.759.067,00;44;11
13709;SSG4;Stg. Culemborg Openbaar VO;2012;2,19;4,4;0,5;0,57;17,2;2,9;0,2;0,2;24,6;1,8;1,8;38,85;2,19;0,2;81,5;78,8;92,5;3,8;2,6;24,6;14,4;5,6;3.832.184,00;44;11
13709;SSG4;Stg. Culemborg Openbaar VO;2013;2,86;4,8;0,55;0,63;7,2;2,9;0;0;27,9;2;0,4;41,22;2,86;0,4;80,8;79,3;93,5;4,2;9,1;27,9;20;5,5;5.635.806,00;39;11
13737;SSG5;Stg. Openb. VO Hoogeveen;2009;0,83;-2,4;0,35;0,38;22,3;0;0;0;26,6;5;11,9;27,46;0,83;5,7;85,1;73,7;88,8;2,2;-38,1;26,6;-2,9;6,5;-520.233,00;61;6
13737;SSG5;Stg. Openb. VO Hoogeveen;2010;0,94;-4,2;0,32;0,33;21,8;0;0;0;25,8;1,2;3,2;28,26;0,94;5,5;91,3;78,7;89,8;0,7;-41,9;25,8;-1,1;6,2;-180.963,00;61;9
13737;SSG5;Stg. Openb. VO Hoogeveen;2011;1,11;0,7;0,34;0,35;23,3;0;0;0;26,5;1,4;0,4;28,89;1,1;5,7;85;77;89,9;0,7;-38,3;26,5;1,6;7,3;271.098,00;56;6
13737;SSG5;Stg. Openb. VO Hoogeveen;2012;1,43;1,3;0,33;0,35;23,7;0;0;0;27,6;1,4;1,9;34,83;1,43;5,1;85,4;78,3;90,5;1,8;-35,4;27,6;7;6,4;1.178.241,00;59;7
13737;SSG5;Stg. Openb. VO Hoogeveen;2013;1,46;3,5;0,38;0,4;27,6;0;0;0;30,4;2,1;1,4;34;1,46;5,1;82,2;77;90,3;1,7;-30,2;30,4;7;7,1;1.213.770,00;55;8
13739;SSG3;Stichting RSG  Harderwijk;2009;2,48;0,3;0,53;0,74;21,5;0;0;0;24,2;2,3;0;42,34;2,48;0,7;84,3;77,6;91,8;9,6;8,7;24,2;17,6;6,1;2.140.000,00;43;9
13739;SSG3;Stichting RSG  Harderwijk;2010;2,19;-1,7;0,53;0,71;20,9;0;0;0;23,3;2,8;0,3;40,71;2,19;0,4;85,7;78,6;93,2;7,9;7,9;23,3;15,2;5,8;1.941.000,00;47;12
13739;SSG3;Stichting RSG  Harderwijk;2011;2,14;-0,6;0,52;0,71;18,7;0;0;0;20,7;2,8;0,1;36,72;2,14;0,3;84,8;78,8;93,6;7,6;5,9;20,7;13,1;6,1;1.817.000,00;42;8
13739;SSG3;Stichting RSG  Harderwijk;2012;1,17;5,3;0,55;0,72;18,8;0;0;0;23,5;2,6;15,4;25,21;1,17;5;83,9;79;89,2;7,2;-5,8;23,5;2;6,2;319.000,00;43;10
