BEVOEGD GEZAG NUMMER;GROEPERING;BEVOEGD GEZAG NAAM;JAAR;1.1 - IMMATERIËLE VASTE ACTIVA;1.2 - MATERIËLE VASTE ACTIVA;1.3 - FINANCIËLE VASTE ACTIVA;1.4 - VOORRADEN;1.5 - VORDERINGEN;1.6 - EFFECTEN;1.7 - LIQUIDE MIDDELEN;2.1 - EIGEN VERMOGEN;2.2 - VOORZIENINGEN;2.3 - LANGLOPENDE SCHULDEN;2.4 - KORTLOPENDE SCHULDEN;TA - TOTAAL ACTIVA;TP - TOTAAL PASSIVA;TVA - TOTAAL VASTE ACTIVA;TVLA - TOTAAL VLOTTENDE ACTIVA
10028;SSG1;Gemeente Ameland;2009;;136.486;;;5.564;;447.340;381.255;82.679;;125.456;589.390;589.390;136.486;452.904
10028;SSG1;Gemeente Ameland;2010;;128.273;;;8.431;;592.625;529.394;80.818;;119.117;729.329;729.329;128.273;601.056
10028;SSG1;Gemeente Ameland;2011;;101.296;;;43.139;;678.060;641.264;45.486;;135.747;822.495;822.497;101.296;721.199
10028;SSG1;Gemeente Ameland;2012;;169.405;;;9.586;;801.287;792.670;41.184;;146.426;980.278;980.280;169.405;810.873
10028;SSG1;Gemeente Ameland;2013;;483.452;;;6.959;;632.460;920.027;43.607;;159.237;1.122.871;1.122.871;483.452;639.419
10053;SSG1;Gemeente Assen;2009;;664.053;;;347.798;;1.350.468;1.359.801;148.871;;853.644;2.362.319;2.362.316;664.053;1.698.266
10053;SSG1;Gemeente Assen;2010;;640.814;;;342.098;;1.417.950;1.487.749;181.531;;731.582;2.400.862;2.400.862;640.814;1.760.048
10053;SSG1;Gemeente Assen;2011;;540.887;;;343.090;;1.561.744;1.549.799;258.250;;637.672;2.445.721;2.445.721;540.887;1.904.834
10053;SSG1;Gemeente Assen;2012;;512.291;;;384.035;;1.858.763;1.995.534;263.123;;496.432;2.755.089;2.755.089;512.291;2.242.798
10053;SSG1;Gemeente Assen;2013;;698.957;;;371.562;;1.998.734;2.313.537;270.959;;484.757;3.069.253;3.069.253;698.957;2.370.296
10869;SSG4;Gemeente Texel;2009;;465.828;429.876;;352.302;;2.633.222;2.671.071;363.683;;846.474;3.881.228;3.881.228;895.704;2.985.524
10869;SSG4;Gemeente Texel;2010;;1.813.286;454.959;;120.261;;1.308.631;2.713.829;180.176;;803.132;3.697.137;3.697.137;2.268.245;1.428.892
10869;SSG4;Gemeente Texel;2011;;1.584.479;450.587;;99.781;;1.143.145;2.374.154;150.469;;753.369;3.277.992;3.277.992;2.035.066;1.242.926
10869;SSG4;Gemeente Texel;2012;;1.366.784;429.023;;138.159;;985.514;2.011.150;120.655;;787.675;2.919.480;2.919.480;1.795.807;1.123.673
10869;SSG4;Gemeente Texel;2013;;1.190.106;;;120.339;;1.623.166;2.029.582;132.381;;771.648;2.933.611;2.933.611;1.190.106;1.743.505
10907;SSG3;Gemeente Veenendaal;2009;;1.681.810;406.264;;2.323.736;;2.798;2.761.224;613.661;;1.039.723;4.414.608;4.414.608;2.088.074;2.326.534
10907;SSG3;Gemeente Veenendaal;2010;;1.769.438;406.506;;1.387.123;;258.734;2.540.458;450.054;;831.289;3.821.801;3.821.801;2.175.944;1.645.857
10907;SSG3;Gemeente Veenendaal;2011;;1.806.604;404.325;;1.440.337;;21.129;2.369.055;483.210;;820.130;3.672.395;3.672.395;2.210.929;1.461.466
10907;SSG3;Gemeente Veenendaal;2012;;1.860.702;;;1.435.013;;211.459;2.161.672;555.294;;790.208;3.507.174;3.507.174;1.860.702;1.646.472
10907;SSG3;Gemeente Veenendaal;2013;;2.173.034;;;1.044.522;;114.135;1.909.200;646.679;;775.812;3.331.691;3.331.691;2.173.034;1.158.657
10928;SSG1;Gemeente Vlieland;2009;;72.587;;;27.424;;229.308;178.697;48.822;;101.800;329.319;329.319;72.587;256.732
10928;SSG1;Gemeente Vlieland;2010;;67.237;;;28.797;;127.236;103.800;13.458;;106.012;223.270;223.270;67.237;156.033
10928;SSG1;Gemeente Vlieland;2011;;53.712;;;31.027;;102.838;62.045;14.667;;110.865;187.577;187.577;53.712;133.865
10928;SSG1;Gemeente Vlieland;2012;;58.779;;;34.158;;134.596;93.369;17.161;;117.003;227.533;227.533;58.779;168.754
10928;SSG1;Gemeente Vlieland;2013;;50.566;;;26.580;;177.764;80.592;11.839;;162.478;254.910;254.909;50.566;204.344
11107;SSG1;Gemeente Lelystad M Z;2009;;1.897.395;;;6.282.031;;9.862.735;8.822.350;1.398.306;;7.821.505;18.042.161;18.042.161;1.897.395;16.144.766
11107;SSG1;Gemeente Lelystad M Z;2010;;197.022;;;1.679.278;;462.778;1.820.874;210.337;;307.867;2.339.078;2.339.078;197.022;2.142.056
11107;SSG1;Gemeente Lelystad M Z;2011;;190.541;;;1.824.417;;222.847;1.595.813;238.845;;403.147;2.237.805;2.237.805;190.541;2.047.264
11107;SSG1;Gemeente Lelystad M Z;2012;;160.314;;;217.809;;4.377.418;1.191.600;299.430;;3.264.511;4.755.541;4.755.541;160.314;4.595.227
11107;SSG1;Gemeente Lelystad M Z;2013;;157.637;;;317.657;;1.287.690;631.558;750.983;;380.443;1.762.984;1.762.984;157.637;1.605.347
12975;SSG4;Almere College, CvB;2009;;3.444.420;1.212.829;;199.422;;3.185.812;4.314.855;1.065.460;263.250;2.398.918;8.042.483;8.042.483;4.657.249;3.385.234
12975;SSG4;Almere College, CvB;2010;;3.335.578;1.143.692;;403.707;;3.339.335;4.318.805;976.411;171.242;2.755.854;8.222.312;8.222.312;4.479.270;3.743.042
12975;SSG4;Almere College, CvB;2011;;3.015.564;1.036.909;;549.756;;3.477.589;4.243.853;924.209;113.154;2.798.602;8.079.818;8.079.818;4.052.473;4.027.345
12975;SSG4;Almere College, CvB;2012;;2.829.543;548.704;;1.087.678;;3.524.532;3.777.870;959.965;86.529;3.166.093;7.990.457;7.990.457;3.378.247;4.612.210
12975;SSG4;Almere College, CvB;2013;;2.934.801;534.631;;775.626;;3.009.140;4.394.268;1.101.768;59.904;1.698.258;7.254.198;7.254.198;3.469.432;3.784.766
13273;SSG4;Stg. Opb. VO N- en M-Drenthe;2009;;5.413.252;;4.634;391.587;;5.538.545;3.637.323;3.584.652;754.809;3.371.234;11.348.018;11.348.018;5.413.252;5.934.766
13273;SSG4;Stg. Opb. VO N- en M-Drenthe;2010;;4.765.201;;21.725;264.975;;6.040.430;3.632.964;3.017.726;505.336;3.936.305;11.092.331;11.092.331;4.765.201;6.327.130
13273;SSG4;Stg. Opb. VO N- en M-Drenthe;2011;;4.465.436;;29.825;593.357;;5.922.810;3.476.786;3.241.862;229.168;4.063.612;11.011.428;11.011.428;4.465.436;6.545.992
13273;SSG4;Stg. Opb. VO N- en M-Drenthe;2012;;3.298.177;;32.589;605.478;;6.656.248;3.252.498;3.044.000;;4.295.994;10.592.492;10.592.492;3.298.177;7.294.315
13273;SSG4;Stg. Opb. VO N- en M-Drenthe;2013;;3.009.992;;24.002;412.896;;5.723.878;5.672.028;330.500;;3.168.240;9.170.768;9.170.768;3.009.992;6.160.776
13278;SSG3;Stg. Regionale SGM Enkhuizen;2009;;1.306.170;;7.589;298.616;;3.259.700;3.014.634;725.737;;1.131.705;4.872.075;4.872.076;1.306.170;3.565.905
13278;SSG3;Stg. Regionale SGM Enkhuizen;2010;;1.793.119;;6.305;334.059;;2.943.598;3.234.168;494.761;;1.348.152;5.077.081;5.077.081;1.793.119;3.283.962
13278;SSG3;Stg. Regionale SGM Enkhuizen;2011;;1.624.356;;5.808;368.824;;3.310.612;3.391.506;473.559;;1.444.535;5.309.600;5.309.600;1.624.356;3.685.244
13278;SSG3;Stg. Regionale SGM Enkhuizen;2012;;1.523.029;;;358.237;;3.907.882;3.629.133;569.923;;1.590.092;5.789.148;5.789.148;1.523.029;4.266.119
13278;SSG3;Stg. Regionale SGM Enkhuizen;2013;;1.747.326;;;459.239;;3.889.911;3.846.999;589.630;;1.659.847;6.096.476;6.096.476;1.747.326;4.349.150
13360;SSG4;Stg. Minkema College opb. VO;2009;;4.077.163;977.296;9.048;514.115;;4.437.572;3.797.649;1.502.870;1.435.770;3.278.905;10.015.194;10.015.194;5.054.459;4.960.735
13360;SSG4;Stg. Minkema College opb. VO;2010;;3.700.911;1.010.858;11.549;518.581;;5.296.512;3.644.746;1.305.263;1.398.160;4.190.249;10.538.411;10.538.418;4.711.769;5.826.642
13360;SSG4;Stg. Minkema College opb. VO;2011;;3.688.103;1.006.652;8.862;338.126;;4.767.313;3.440.664;1.058.100;1.336.255;3.974.037;9.809.056;9.809.056;4.694.755;5.114.301
13360;SSG4;Stg. Minkema College opb. VO;2012;;3.449.991;1.016.389;5.414;487.908;;5.603.878;3.607.149;1.082.699;1.204.785;4.668.947;10.563.580;10.563.580;4.466.380;6.097.200
13360;SSG4;Stg. Minkema College opb. VO;2013;;4.312.072;954.111;8.024;433.818;;3.359.017;3.949.654;1.127.650;1.167.100;2.822.638;9.067.042;9.067.042;5.266.183;3.800.859
13365;SSG4;Stg. Openb. VO de Waerdenborch;2009;;1.684.548;;;1.070.792;;3.746.314;2.836.884;1.348.511;;2.316.259;6.501.654;6.501.654;1.684.548;4.817.106
13365;SSG4;Stg. Openb. VO de Waerdenborch;2010;;1.594.360;;;39.134;;4.490.160;2.697.166;885.488;;2.541.000;6.123.654;6.123.654;1.594.360;4.529.294
13365;SSG4;Stg. Openb. VO de Waerdenborch;2011;;1.665.119;;;85.388;;3.872.363;2.604.717;622.865;;2.395.288;5.622.870;5.622.870;1.665.119;3.957.751
13365;SSG4;Stg. Openb. VO de Waerdenborch;2012;;1.788.505;;;79.287;;3.863.619;2.805.720;618.795;;2.306.896;5.731.411;5.731.411;1.788.505;3.942.906
13365;SSG4;Stg. Openb. VO de Waerdenborch;2013;;1.788.187;;;132.908;;4.118.201;3.328.407;665.624;;2.045.265;6.039.296;6.039.296;1.788.187;4.251.109
13554;SSG5;Stichting Quadraam;2009;;30.676.570;33.200;;10.654.681;11.816.622;2.483.703;24.852.311;10.604.495;3.799.766;16.408.204;55.664.776;55.664.776;30.709.770;24.955.006
13554;SSG5;Stichting Quadraam;2010;;37.982.758;30.750;;3.562.502;11.762.912;233.647;22.741.361;5.886.222;3.583.409;21.361.579;53.572.569;53.572.571;38.013.508;15.559.061
13554;SSG5;Stichting Quadraam;2011;;35.009.917;65.715;;2.767.311;8.146.046;1.064.243;19.242.377;4.946.525;3.761.511;19.102.817;47.053.232;47.053.230;35.075.632;11.977.600
13554;SSG5;Stichting Quadraam;2012;;33.456.956;72.629;;2.975.410;9.580.162;17.369;19.905.629;3.634.650;3.693.861;18.868.384;46.102.526;46.102.524;33.529.585;12.572.941
13554;SSG5;Stichting Quadraam;2013;;32.940.712;56.988;;4.485.257;9.819.644;987.432;24.759.227;3.303.972;3.422.159;16.804.676;48.290.033;48.290.034;32.997.700;15.292.333
13555;SSG4;Stg. Openbaar VO Walcheren;2009;;3.393.185;5.173;638.567;1.812.286;;6.981.685;4.101.067;3.402.492;5.175;5.322.162;12.830.896;12.830.896;3.398.358;9.432.538
13555;SSG4;Stg. Openbaar VO Walcheren;2010;;5.744.444;1.240.563;510.057;531.863;;2.612.222;4.757.171;1.284.806;753.451;3.843.721;10.639.149;10.639.149;6.985.007;3.654.142
13555;SSG4;Stg. Openbaar VO Walcheren;2011;;5.940.867;1.284.273;501.627;800.295;;2.228.656;4.849.842;1.280.623;751.725;3.873.528;10.755.718;10.755.718;7.225.140;3.530.578
13555;SSG4;Stg. Openbaar VO Walcheren;2012;;6.636.351;1.322.664;8.554;593.772;;2.856.813;5.031.324;1.298.774;;5.088.056;11.418.154;11.418.154;7.959.015;3.459.139
13555;SSG4;Stg. Openbaar VO Walcheren;2013;;6.710.057;1.372.859;9.884;1.329.166;;2.725.323;6.407.613;1.282.280;;4.457.396;12.147.289;12.147.289;8.082.916;4.064.373
13556;SSG2;OSZG;2009;;9.594.457;900.000;;5.313.596;;2.983.517;12.023.609;800.939;2.341;5.964.681;18.791.570;18.791.570;10.494.457;8.297.113
13556;SSG2;OSZG;2010;;10.538.444;2.700.000;;1.315.254;;5.203.180;11.788.724;559.103;585;7.408.466;19.756.878;19.756.878;13.238.444;6.518.434
13556;SSG2;OSZG;2011;;10.226.524;2.700.000;;652.550;;6.618.242;10.660.120;562.343;585;8.974.268;20.197.316;20.197.316;12.926.524;7.270.792
13556;SSG2;OSZG;2012;;9.141.084;2.700.000;;1.299.134;;4.694.448;10.322.743;682.892;;6.829.031;17.834.666;17.834.666;11.841.084;5.993.582
13556;SSG2;OSZG;2013;;8.644.660;2.700.000;;937.163;;6.480.876;12.180.202;618.610;;5.963.887;18.762.699;18.762.699;11.344.660;7.418.039
13563;SSG4;BC Winkler Prins;2009;;4.687.976;;;90.165;;4.836.313;4.290.391;692.000;;4.632.063;9.614.454;9.614.454;4.687.976;4.926.478
13563;SSG4;BC Winkler Prins;2010;;5.743.858;;;145.344;;4.759.116;4.600.720;210.600;600.000;5.236.998;10.648.318;10.648.318;5.743.858;4.904.460
13563;SSG4;BC Winkler Prins;2011;;5.813.929;;;616.399;;3.644.291;4.633.390;209.900;570.000;4.661.329;10.074.619;10.074.619;5.813.929;4.260.690
13563;SSG4;BC Winkler Prins;2012;;5.404.739;;;141.777;;4.617.846;5.003.771;193.300;540.000;4.427.291;10.164.362;10.164.362;5.404.739;4.759.623
13563;SSG4;BC Winkler Prins;2013;;5.137.230;;;224.166;;5.492.885;5.449.781;211.100;510.000;4.683.400;10.854.281;10.854.281;5.137.230;5.717.051
13586;SSG4;Stg. v. Opb. VO Gem. S T & A;2009;;5.197.142;229.770;543.994;1.105.338;;1.469.694;3.271.903;2.367.887;;2.906.148;8.545.938;8.545.938;5.426.912;3.119.026
13586;SSG4;Stg. v. Opb. VO Gem. S T & A;2010;;5.606.712;240.165;743.735;722.273;;2.602.311;4.846.162;1.962.215;;3.106.819;9.915.196;9.915.196;5.846.877;4.068.319
13586;SSG4;Stg. v. Opb. VO Gem. S T & A;2011;;5.707.047;202.500;757.664;1.240.729;;2.046.779;4.884.517;1.904.891;;3.165.311;9.954.719;9.954.719;5.909.547;4.045.172
13586;SSG4;Stg. v. Opb. VO Gem. S T & A;2012;;5.775.808;241.425;766.487;1.791.447;;2.812.265;5.165.625;2.206.480;;4.015.327;11.387.432;11.387.432;6.017.233;5.370.199
13586;SSG4;Stg. v. Opb. VO Gem. S T & A;2013;;5.683.746;326.250;820.949;1.601.746;;3.775.949;5.610.258;2.605.050;;3.993.332;12.208.640;12.208.640;6.009.996;6.198.644
13603;SSG4;Stichting OSG Piter Jelles;2009;;9.689.963;2.000.000;16.066;439.180;;72.650;3.563.384;1.818.460;;6.836.015;12.217.859;12.217.859;11.689.963;527.896
13603;SSG4;Stichting OSG Piter Jelles;2010;;8.802.228;1.500.000;1.473;844.022;;113.175;3.246.602;1.395.258;;6.619.038;11.260.898;11.260.898;10.302.228;958.670
13603;SSG4;Stichting OSG Piter Jelles;2011;;7.745.065;750.000;1.190;857.527;;57.610;3.102.245;1.396.945;;4.912.202;9.411.392;9.411.392;8.495.065;916.327
13603;SSG4;Stichting OSG Piter Jelles;2012;;7.113.847;;2.005;1.478.719;;2.308.369;4.658.114;1.374.272;;4.870.554;10.902.940;10.902.940;7.113.847;3.789.093
13603;SSG4;Stichting OSG Piter Jelles;2013;;6.899.110;;;1.032.770;;4.182.809;6.133.854;1.342.665;;4.638.170;12.114.689;12.114.689;6.899.110;5.215.579
13652;SSG5;Stg. Opb. VO N-Holland-Noord;2009;46.979;11.392.497;21.237;476.543;3.130.837;;7.014.256;10.076.655;943.666;128.777;10.933.251;22.082.349;22.082.349;11.460.713;10.621.636
13652;SSG5;Stg. Opb. VO N-Holland-Noord;2010;79.838;12.872.836;10.618;525.788;2.732.755;;3.480.171;8.635.189;797.154;103.151;10.166.512;19.702.006;19.702.006;12.963.292;6.738.714
13652;SSG5;Stg. Opb. VO N-Holland-Noord;2011;57.497;11.864.053;;603.112;3.322.086;;2.459.261;9.027.971;794.638;;8.483.399;18.306.009;18.306.008;11.921.550;6.384.459
13652;SSG5;Stg. Opb. VO N-Holland-Noord;2012;72.234;11.803.994;;608.543;1.855.562;;5.206.848;9.695.899;876.573;;8.974.710;19.547.181;19.547.182;11.876.228;7.670.953
13652;SSG5;Stg. Opb. VO N-Holland-Noord;2013;48.233;12.826.125;;573.989;2.188.436;;4.690.557;11.622.820;1.101.614;;7.602.906;20.327.340;20.327.340;12.874.358;7.452.982
13678;SSG4;Stg. Openbaar VO NW-Friesland;2009;;562.978;;3.643;164.875;;2.953.541;1.610.776;745.912;;1.328.349;3.685.037;3.685.037;562.978;3.122.059
13678;SSG4;Stg. Openbaar VO NW-Friesland;2010;;585.060;;3.501;166.649;;3.771.917;1.833.164;520.434;;2.173.529;4.527.127;4.527.127;585.060;3.942.067
13678;SSG4;Stg. Openbaar VO NW-Friesland;2011;;729.072;;3.105;184.916;;3.131.257;2.106.757;612.927;;1.328.666;4.048.350;4.048.350;729.072;3.319.278
13678;SSG4;Stg. Openbaar VO NW-Friesland;2012;;760.002;;3.044;220.215;;3.110.307;2.149.812;569.025;;1.374.731;4.093.568;4.093.568;760.002;3.333.566
13678;SSG4;Stg. Openbaar VO NW-Friesland;2013;;886.362;;2.628;215.697;;3.175.101;2.252.582;835.353;;1.191.853;4.279.788;4.279.788;886.362;3.393.426
13693;SSG4;Stg. v. Openb. VO Wageningen;2009;;4.836.603;207.740;10.703;1.631.424;;1.560.586;3.218.020;1.288.567;1.307.741;2.432.727;8.247.056;8.247.055;5.044.343;3.202.713
13693;SSG4;Stg. v. Openb. VO Wageningen;2010;;5.070.653;138.493;15.367;1.660.608;;1.217.941;3.417.172;1.147.068;1.138.494;2.400.328;8.103.062;8.103.062;5.209.146;2.893.916
13693;SSG4;Stg. v. Openb. VO Wageningen;2011;;3.330.372;69.247;10.609;2.393.631;;1.988.391;3.320.410;992.187;969.247;2.510.406;7.792.250;7.792.250;3.399.619;4.392.631
13693;SSG4;Stg. v. Openb. VO Wageningen;2012;;4.411.629;;8.968;1.550.033;;1.335.531;3.242.818;1.009.768;800.000;2.253.574;7.306.161;7.306.160;4.411.629;2.894.532
13693;SSG4;Stg. v. Openb. VO Wageningen;2013;;4.752.880;;13.969;379.831;;1.851.976;3.800.259;393.882;700.000;2.104.513;6.998.656;6.998.654;4.752.880;2.245.776
13709;SSG4;Stg. Culemborg Openbaar VO;2009;;5.091.367;534.750;;1.354.998;;4.958.204;4.661.863;1.308.882;2.902.383;3.066.191;11.939.319;11.939.319;5.626.117;6.313.202
13709;SSG4;Stg. Culemborg Openbaar VO;2010;;5.534.221;177.500;;775.299;;5.895.020;5.221.557;879.110;2.856.162;3.425.210;12.382.040;12.382.039;5.711.721;6.670.319
13709;SSG4;Stg. Culemborg Openbaar VO;2011;;5.975.605;161.300;;731.267;;4.993.596;5.364.316;905.773;2.625.883;2.965.796;11.861.768;11.861.768;6.136.905;5.724.863
13709;SSG4;Stg. Culemborg Openbaar VO;2012;;5.901.489;192.250;;770.058;;6.284.632;6.540.649;1.007.142;2.378.132;3.222.506;13.148.429;13.148.429;6.093.739;7.054.690
13709;SSG4;Stg. Culemborg Openbaar VO;2013;;5.480.896;228.600;;837.757;;7.823.293;7.883.569;1.185.332;2.276.401;3.025.244;14.370.546;14.370.546;5.709.496;8.661.050
13737;SSG5;Stg. Openb. VO Hoogeveen;2009;212.105;10.738.507;;2.254;296.393;;2.170.891;4.732.685;397.820;5.299.874;2.989.771;13.420.150;13.420.150;10.950.612;2.469.538
13737;SSG5;Stg. Openb. VO Hoogeveen;2010;179.420;10.618.857;;;419.325;;2.186.503;4.313.073;119.397;6.184.844;2.786.791;13.404.105;13.404.105;10.798.277;2.605.828
13737;SSG5;Stg. Openb. VO Hoogeveen;2011;146.736;10.189.512;;6.461;278.455;;2.532.392;4.436.509;119.370;6.051.467;2.546.210;13.153.556;13.153.556;10.336.248;2.817.308
13737;SSG5;Stg. Openb. VO Hoogeveen;2012;114.052;10.066.552;;2.359;302.246;;3.604.610;4.660.551;299.273;6.399.028;2.730.974;14.089.819;14.089.826;10.180.604;3.909.215
13737;SSG5;Stg. Openb. VO Hoogeveen;2013;81.368;9.982.567;;295;385.878;;3.450.059;5.263.776;287.149;5.726.781;2.622.462;13.900.167;13.900.168;10.063.935;3.836.232
13739;SSG3;Stichting RSG  Harderwijk;2009;;1.970.000;;;309.000;;3.274.000;2.947.000;1.163.000;;1.443.000;5.553.000;5.553.000;1.970.000;3.583.000
13739;SSG3;Stichting RSG  Harderwijk;2010;;2.024.000;;;413.000;;3.161.000;2.964.000;1.001.000;;1.633.000;5.598.000;5.598.000;2.024.000;3.574.000
13739;SSG3;Stichting RSG  Harderwijk;2011;;2.112.000;;;319.000;;3.089.000;2.874.000;1.055.000;;1.591.000;5.520.000;5.520.000;2.112.000;3.408.000
13739;SSG3;Stichting RSG  Harderwijk;2012;;4.531.000;;;427.000;;1.747.000;3.709.000;1.140.000;;1.855.000;6.705.000;6.704.000;4.531.000;2.174.000
13739;SSG3;Stichting RSG  Harderwijk;2013;;5.630.000;;;637.000;;1.595.000;5.013.000;1.345.000;;1.504.000;7.862.000;7.862.000;5.630.000;2.232.000
13749;SSG2;Stg Gem Gymnasium Hilversum;2009;;691.672;487.457;;88.688;;762.192;696.540;467.500;;865.969;2.030.009;2.030.009;1.179.129;850.880
13749;SSG2;Stg Gem Gymnasium Hilversum;2010;;613.638;654.601;396.086;46.375;;677.545;748.541;487.908;169.300;982.496;2.388.245;2.388.245;1.268.239;1.120.006
13749;SSG2;Stg Gem Gymnasium Hilversum;2011;;622.962;160.817;322.053;356.250;;1.170.993;697.481;652.462;160.817;1.122.315;2.633.075;2.633.075;783.779;1.849.296
13749;SSG2;Stg Gem Gymnasium Hilversum;2012;;776.747;190.000;244.279;435.437;;1.282.126;765.876;592.122;190.000;1.380.591;2.928.589;2.928.589;966.747;1.961.842
13749;SSG2;Stg Gem Gymnasium Hilversum;2013;;724.193;263.871;197.493;234.854;;1.641.952;1.038.736;577.260;263.868;1.182.499;3.062.363;3.062.363;988.064;2.074.299
20151;SSG5;Ver. Chr. VO Rotterdam e.o.;2009;3.400;73.594.000;9.524.600;;4.855.700;10.225.600;11.727.900;32.977.100;13.470.000;10.880.600;52.603.500;109.931.200;109.931.200;83.122.000;26.809.200
20151;SSG5;Ver. Chr. VO Rotterdam e.o.;2010;;64.581.300;9.450.100;;5.579.500;13.849.100;11.676.200;35.790.200;11.681.700;10.422.900;47.241.400;105.136.200;105.136.200;74.031.400;31.104.800
20151;SSG5;Ver. Chr. VO Rotterdam e.o.;2011;;57.475.900;178.100;;7.177.100;8.119.300;11.190.000;24.410.300;12.913.200;9.960.700;36.856.200;84.140.400;84.140.400;57.654.000;26.486.400
20151;SSG5;Ver. Chr. VO Rotterdam e.o.;2012;;63.842.700;169.900;;5.810.800;;24.143.100;22.956.400;14.329.200;8.657.900;48.023.000;93.966.500;93.966.500;64.012.600;29.953.900
20151;SSG5;Ver. Chr. VO Rotterdam e.o.;2013;;52.894.500;161.300;;9.044.100;;41.681.300;24.529.400;17.032.300;16.858.800;45.360.700;103.781.200;103.781.200;53.055.800;50.725.400
20187;SSG4;Stg. v. Chr. VO in het Gooi;2009;;1.922.835;10.417.942;;1.606.020;;2.084.702;9.372.701;4.040.731;;2.618.067;16.031.499;16.031.499;12.340.777;3.690.722
20187;SSG4;Stg. v. Chr. VO in het Gooi;2010;;1.985.736;5.071.961;;4.179.111;;5.973.748;9.789.022;3.727.471;;3.694.063;17.210.556;17.210.556;7.057.697;10.152.859
20187;SSG4;Stg. v. Chr. VO in het Gooi;2011;;2.780.689;4.115.164;;4.741.936;;918.898;8.166.591;1.360.368;;3.029.728;12.556.687;12.556.687;6.895.853;5.660.834
20187;SSG4;Stg. v. Chr. VO in het Gooi;2012;;3.460.889;2.041.850;;4.037.283;;2.154.223;8.303.840;1.502.854;;1.887.551;11.694.245;11.694.245;5.502.739;6.191.506
20187;SSG4;Stg. v. Chr. VO in het Gooi;2013;;2.961.145;12.200;;2.693.374;;6.709.849;8.727.792;1.699.678;;1.949.098;12.376.568;12.376.568;2.973.345;9.403.223
20281;SSG5; Lucas Onderwijs;2009;;31.469.816;26.865.748;;10.708.585;;7.408.845;31.658.307;14.024.861;146.373;30.623.450;76.452.994;76.452.991;58.335.564;18.117.430
20281;SSG5; Lucas Onderwijs;2010;;34.391.692;27.307.554;;7.805.099;;5.944.699;32.946.943;9.030.994;134.176;33.336.930;75.449.044;75.449.043;61.699.246;13.749.798
20281;SSG5; Lucas Onderwijs;2011;;36.679.996;21.659.147;;11.003.508;;3.014.876;28.811.899;11.688.959;121.976;31.734.693;72.357.527;72.357.527;58.339.143;14.018.384
20281;SSG5; Lucas Onderwijs;2012;;40.260.190;23.207.209;;9.633.457;;3.684.367;28.840.755;15.187.759;109.779;32.646.930;76.785.223;76.785.223;63.467.399;13.317.824
20281;SSG5; Lucas Onderwijs;2013;;38.278.619;19.734.269;;7.854.408;;19.433.857;40.721.362;18.046.627;97.581;26.435.583;85.301.153;85.301.153;58.012.888;27.288.265
23155;SSG2;Stg. Kath. Ond. St. Liduina;2009;;1.658.552;;;142.776;;5.407.180;5.130.024;735.083;89.675;1.253.727;7.208.508;7.208.509;1.658.552;5.549.956
23155;SSG2;Stg. Kath. Ond. St. Liduina;2010;;1.721.216;;;159.407;;4.554.391;4.467.666;329.383;;1.637.962;6.435.014;6.435.011;1.721.216;4.713.798
23155;SSG2;Stg. Kath. Ond. St. Liduina;2011;;1.821.796;;;98.436;;3.519.253;3.991.835;385.009;;1.062.642;5.439.485;5.439.486;1.821.796;3.617.689
23155;SSG2;Stg. Kath. Ond. St. Liduina;2012;;1.401.076;;;152.738;;3.940.081;3.783.922;593.591;;1.116.383;5.493.895;5.493.896;1.401.076;4.092.819
23155;SSG2;Stg. Kath. Ond. St. Liduina;2013;;1.491.611;;;259.574;;3.943.101;3.963.664;693.311;;1.037.310;5.694.286;5.694.285;1.491.611;4.202.675
26093;SSG3;KSE Etten-Leur;2009;;10.951.840;246.829;;275.900;;3.391.611;5.251.344;2.881.134;4.079.699;2.654.003;14.866.180;14.866.180;11.198.669;3.667.511
26093;SSG3;KSE Etten-Leur;2010;;12.717.611;177.729;;350.636;;2.829.599;5.906.568;784.151;6.277.063;3.107.793;16.075.575;16.075.575;12.895.340;3.180.235
26093;SSG3;KSE Etten-Leur;2011;;11.953.160;105.498;;285.838;;3.023.902;5.797.768;850.338;5.785.678;2.934.614;15.368.398;15.368.398;12.058.658;3.309.740
26093;SSG3;KSE Etten-Leur;2012;;11.379.327;71.638;;146.946;;3.789.622;6.143.697;967.521;5.294.292;2.982.023;15.387.533;15.387.533;11.450.965;3.936.568
26093;SSG3;KSE Etten-Leur;2013;;10.614.852;47.992;;199.415;;4.705.965;7.061.734;731.238;4.452.906;3.322.346;15.568.224;15.568.224;10.662.844;4.905.380
26157;SSG4;Stg. Montessori SGM A'dam;2009;;2.156.191;;;2.365.159;;4.478.327;2.596.864;1.970.031;;4.432.783;8.999.677;8.999.678;2.156.191;6.843.486
26157;SSG4;Stg. Montessori SGM A'dam;2010;;2.946.836;;;2.358.760;;2.228.889;1.882.768;1.657.051;;3.994.667;7.534.485;7.534.486;2.946.836;4.587.649
26157;SSG4;Stg. Montessori SGM A'dam;2011;;3.003.774;;;553.869;;3.965.778;1.747.658;1.562.066;;4.213.699;7.523.421;7.523.423;3.003.774;4.519.647
26157;SSG4;Stg. Montessori SGM A'dam;2012;;3.193.078;;;1.252.976;;4.579.506;3.306.071;1.671.600;;4.047.889;9.025.560;9.025.560;3.193.078;5.832.482
