SCHOOLJAAR;BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;PLAATSNAAM;PROVINCIE;ONDERWIJSTYPE VO;VAKCODE;AFKORTING VAKNAAM;VAKNAAM;SCHOOLEXAMEN BEOORDELING;TOTAAL AANTAL SCHOOLEXAMENS MET BEOORDELING;AANTAL SCHOOLEXAMENS MET BEOORDELING MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL SCHOOLEXAMENS MET CIJFER;GEM. CIJFER TOTAAL AANTAL SCHOOLEXAMENS;AANTAL SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER SCHOOLEXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;TOTAAL AANTAL CENTRALE EXAMENS;GEM. CIJFER TOTAAL AANTAL CENTRALE EXAMENS;AANTAL CENTRALE EXAMENS MEETELLEND VOOR DIPLOMA;GEM. CIJFER CENTRALE EXAMENS MET CIJFER MEETELLEND VOOR DIPLOMA;GEM. CIJFER CIJFERLIJST
2010;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0131;ak;aardrijkskunde;;0;0;21;6,8;21;6,8;21;6,0;21;6,0;6,4
2010;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0161;in;informatica;;0;0;11;7,3;0;,0;0;,0;0;,0;7,3
2010;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0251;m&o;management en organisatie;;0;0;20;7,3;20;7,3;20;5,2;20;5,2;6,4
2010;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0260;mu;muziek;;0;0;10;7,6;10;7,6;10;6,5;10;6,5;7,0
2010;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0270;te;tekenen;;0;0;6;7,0;6;7,0;6;5,8;6;5,8;6,5
2010;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0301;anw;algemene natuurwetenschappen;;0;0;67;7,3;0;,0;0;,0;0;,0;7,3
2010;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0353;lo;lichamelijke opvoeding;G;38;38;0;,0;0;,0;0;,0;0;,0;,0
2010;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0353;lo;lichamelijke opvoeding;V;33;33;0;,0;0;,0;0;,0;0;,0;,0
2010;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;0371;kcv;klassieke culturele vorming;;0;0;22;8,1;0;,0;0;,0;0;,0;8,1
2010;00AH;00;Opb SGM t Stedelijk Lyceum;0153;ENSCHEDE;ENSCHEDE;Overijssel;VWO;1001;netl;Nederlandse taal en literatuur;;0;0;73;6,6;73;6,6;73;6,0;73;6,0;6,3
